,Area_Code,GP_Name,Area_Type,Time_Period,Deprivation_Score_IMD_2019,GP_Rank,Percentile_Rank,decile,report_period_end,practice_name,practice_code,region_code,Pat_Appts_Use,Pat_Presc_Use,Total_Use,patient_list_size,Pat_Presc_Use_per_1000,Pat_Appts_Use_per_1000
10,P88043,BRINNINGTON SURGERY,GP,2019,62.145852152631,11.0,0.998567335243553,10% most deprived,2021-09-30,BRINNINGTON SURGERY,P88043,Y62,0.0,801.0,31259.0,9286.0,86.26,0.0
11,N82049,WESTMINSTER MEDICAL CENTRE,GP,2019,62.0934769638714,12.0,0.9984240687679083,10% most deprived,2021-09-30,WESTMINSTER MEDICAL CENTRE,N82049,Y62,0.0,466.0,5571.0,6423.0,72.55,0.0
12,N82067,DR A GUPTA BENIM MEDICAL CENTRE,GP,2019,61.8783627374447,13.0,0.9982808022922636,10% most deprived,2021-09-30,DR A GUPTA BENIM MEDICAL CENTRE,N82067,Y62,0.0,321.0,5112.0,4247.0,75.58,0.0
13,N82078,J.W. ROBERTS,GP,2019,61.4663538819424,14.0,0.9981375358166189,10% most deprived,2021-09-30,BOUSFIELD - ROBERTS,N82078,Y62,0.0,409.0,5272.0,3439.0,118.93,0.0
14,Y01695,MP VICTORIA MILL,GP,2019,61.4262158706281,15.0,0.9979942693409742,10% most deprived,2021-09-30,MP VICTORIA MILL,Y01695,Y62,0.0,69.0,4268.0,3386.0,20.38,0.0
15,P81043,SOUTH KING STREET MEDICAL CENTRE,GP,2019,61.120081714001,16.0,0.9978510028653295,10% most deprived,2021-09-30,SOUTH KING STREET MEDICAL CENTRE,P81043,Y62,32.0,639.0,11530.0,5922.0,107.9,5.4
16,N82115,VAUXHALL HEALTH CENTRE,GP,2019,60.8260975348339,17.0,0.9977077363896848,10% most deprived,2021-09-30,VAUXHALL HEALTH CENTRE,N82115,Y62,0.0,695.0,11790.0,8152.0,85.26,0.0
17,N82671,BIGHAM ROAD MEDICAL CENTRE,GP,2019,60.5022024144869,18.0,0.9975644699140401,10% most deprived,2021-09-30,BIGHAM ROAD MEDICAL CENTRE,N82671,Y62,0.0,75.0,1454.0,2269.0,33.05,0.0
18,P84605,FERNCLOUGH SURGERY,GP,2019,60.3361446090955,19.0,0.9974212034383955,10% most deprived,2021-09-30,FERNCLOUGH SURGERY,P84605,Y62,0.0,11.0,976.0,1923.0,5.72,0.0
19,N82103,ANFIELD GROUP PRACTICE,GP,2019,60.223039388514,20.0,0.9972779369627507,10% most deprived,2021-09-30,ANFIELD GROUP PRACTICE,N82103,Y62,10.0,652.0,14486.0,8078.0,80.71,1.24
20,P81042,ADELAIDE STREET SURGERY,GP,2019,60.0072986393968,21.0,0.997134670487106,10% most deprived,2021-09-30,ADELAIDE STREET SURGERY,P81042,Y62,0.0,1694.0,25417.0,12353.0,137.13,0.0
21,L81041,HILLVIEW FAMILY PRACTICE,GP,2019,59.9555420658683,22.0,0.9969914040114614,10% most deprived,2021-09-30,HILLVIEW FAMILY PRACTICE,L81041,Y58,0.0,261.0,9002.0,6871.0,37.99,0.0
22,N82113,FAIRFIELD MEDICAL CENTRE,GP,2019,59.8150309651053,23.0,0.9968481375358166,10% most deprived,2021-09-30,FAIRFIELD MEDICAL CENTRE,N82113,Y62,0.0,307.0,5494.0,7662.0,40.07,0.0
23,L81083,HARTWOOD HEALTHCARE,GP,2019,59.5696312573137,24.0,0.9967048710601719,10% most deprived,2021-09-30,HARTWOOD HEALTHCARE,L81083,Y58,108.0,274.0,8652.0,7866.0,34.83,13.73
24,N84043,SEAFORTH VILLAGE SURGERY,GP,2019,59.3280374015748,25.0,0.9965616045845272,10% most deprived,2021-09-30,SEAFORTH VILLAGE SURGERY,N84043,Y62,0.0,179.0,3228.0,2007.0,89.19,0.0
25,N82048,WALTON MEDICAL CENTRE,GP,2019,59.2480829202343,26.0,0.9964183381088825,10% most deprived,2021-09-30,WALTON MEDICAL CENTRE,N82048,Y62,0.0,1150.0,19088.0,6708.0,171.44,0.0
26,N83025,CORNERWAYS MEDICAL CENTRE,GP,2019,59.1820022636628,27.0,0.9962750716332378,10% most deprived,2021-09-30,CORNERWAYS MEDICAL CENTRE,N83025,Y62,77.0,1097.0,21135.0,9222.0,118.95,8.35
27,A81634,THE ARRIVAL PRACTICE,GP,2019,59.1517907361456,28.0,0.9961318051575931,10% most deprived,2021-09-30,THE ARRIVAL PRACTICE,A81634,Y63,2.0,23.0,133.0,2634.0,8.73,0.76
28,B86081,BELLBROOKE SURGERY,GP,2019,58.8985652867346,29.0,0.9959885386819485,10% most deprived,2021-09-30,BELLBROOKE SURGERY,B86081,Y63,153.0,255.0,16092.0,14223.0,17.93,10.76
29,A86040,ST.ANTHONY'S HEALTH CENTRE,GP,2019,58.8488100591716,30.0,0.9958452722063037,10% most deprived,2021-09-30,ST. ANTHONY'S HEALTH CENTRE,A86040,Y63,0.0,202.0,7199.0,6855.0,29.47,0.0
30,N85038,VITTORIA MED CTR G,GP,2019,58.6035727158424,31.0,0.995702005730659,10% most deprived,2021-09-30,VITTORIA MED CTR G,N85038,Y62,0.0,472.0,6749.0,4747.0,99.43,0.0
31,P84054,WHITLEY ROAD MEDICAL CENTRE,GP,2019,58.5811987466428,32.0,0.9955587392550144,10% most deprived,2021-09-30,WHITLEY ROAD MEDICAL CENTRE,P84054,Y62,0.0,117.0,8899.0,6694.0,17.48,0.0
32,N82668,WALTON VILLAGE MEDICAL CENTRE,GP,2019,58.508416699488,33.0,0.9954154727793696,10% most deprived,2021-09-30,WALTON VILLAGE MEDICAL CENTRE,N82668,Y62,5.0,194.0,4195.0,2834.0,68.45,1.76
33,B86623,ASHTON VIEW MEDICAL CTR,GP,2019,58.2495165518774,34.0,0.9952722063037249,10% most deprived,2021-09-30,ASHTON VIEW MEDICAL CTR,B86623,Y63,0.0,13.0,69.0,4863.0,2.67,0.0
34,N82670,PRIMARY CARE CONNECT PARK VIEW,GP,2019,58.0996284829721,35.0,0.9951289398280803,10% most deprived,2021-09-30,PARK VIEW,N82670,Y62,0.0,188.0,3152.0,2985.0,62.98,0.0
35,N82081,ISLINGTON HOUSE MEDICAL CENTRE,GP,2019,58.0934599118943,36.0,0.9949856733524355,10% most deprived,2021-09-30,ISLINGTON HOUSE MEDICAL CENTRE,N82081,Y62,8.0,318.0,6137.0,4819.0,65.99,1.66
36,N82077,D.K. SHAH,GP,2019,57.9640489092189,37.0,0.9948424068767908,10% most deprived,2021-09-30,BOUSFIELD SURGERY - DR SHAH,N82077,Y62,0.0,305.0,4513.0,2698.0,113.05,0.0
37,A81630,FOUNDATIONS,GP,2019,57.8939864364982,38.0,0.9946991404011462,10% most deprived,2021-09-30,FOUNDATIONS,A81630,Y63,0.0,0.0,2.0,717.0,0.0,0.0
38,N84016,MOORE STREET MEDICAL CENTRE,GP,2019,57.8156817340327,39.0,0.9945558739255015,10% most deprived,2021-09-30,MOORE STREET MEDICAL CENTRE,N84016,Y62,0.0,767.0,12629.0,6217.0,123.37,0.0
39,N83018,STOCKBRIDGE VILLAGE HC,GP,2019,57.8151276815418,40.0,0.9944126074498567,10% most deprived,2021-09-30,STOCKBRIDGE VILLAGE HC,N83018,Y62,0.0,861.0,13556.0,8731.0,98.61,0.0
40,P81115,BLOOMFIELD MEDICAL CENTRE,GP,2019,57.7922214142039,41.0,0.994269340974212,10% most deprived,2021-09-30,BLOOMFIELD MEDICAL CENTRE,P81115,Y62,0.0,1641.0,30891.0,15605.0,105.16,0.0
41,N85634,VITTORIA MED CTR K,GP,2019,57.7779357506361,42.0,0.9941260744985674,10% most deprived,2021-09-30,VITTORIA MED CTR K,N85634,Y62,0.0,24.0,1098.0,1662.0,14.44,0.0
42,N82076,BROWNLOW HEALTH @ PRINCES PARK,GP,2019,57.2921686884544,43.0,0.9939828080229226,10% most deprived,2021-09-30,BROWNLOW HEALTH @ PRINCES PARK,N82076,Y62,0.0,652.0,10810.0,8635.0,75.51,0.0
43,N85021,HAMILTON MED CTR,GP,2019,57.273533915113,44.0,0.9938395415472779,10% most deprived,2021-09-30,HAMILTON MED CTR,N85021,Y62,0.0,116.0,2420.0,2704.0,42.9,0.0
44,P81063,ST PAULS MEDICAL CENTRE,GP,2019,56.9447426001921,45.0,0.9936962750716333,10% most deprived,2021-09-30,ST PAULS MEDICAL CENTRE,P81063,Y62,238.0,1912.0,27582.0,11512.0,166.09,20.67
45,N82052,TOWNSEND MEDICAL CENTRE,GP,2019,56.8794046352584,46.0,0.9935530085959885,10% most deprived,2021-09-30,TOWNSEND MEDICAL CENTRE,N82052,Y62,76.0,581.0,10925.0,5639.0,103.03,13.48
46,Y00110,PRIMARY CARE CONNECT WEST SPEKE,GP,2019,56.350879093199,47.0,0.9934097421203438,10% most deprived,2021-09-30,WEST SPEKE HEALTH CENTRE,Y00110,Y62,0.0,79.0,2171.0,2162.0,36.54,0.0
47,N82645,BROWNLOW HEALTH AT KENSINGTON,GP,2019,56.3077937750273,48.0,0.9932664756446992,10% most deprived,2021-09-30,BROWNLOW HEALTH AT KENSINGTON,N82645,Y62,0.0,491.0,11234.0,7032.0,69.82,0.0
48,N82650,DR A SINGH & DR S BICHA,GP,2019,56.2823960726195,49.0,0.9931232091690544,10% most deprived,2021-09-30,SPEKE HC - DR SINGH & DR BICHA,N82650,Y62,2.0,341.0,5298.0,4169.0,81.79,0.48
49,M85108,SMALL HEATH MEDICAL PRACTICE,GP,2019,56.1994209174312,50.0,0.9929799426934097,10% most deprived,2021-09-30,SMALL HEATH MEDICAL PRACTICE,M85108,Y60,20.0,318.0,7912.0,5700.0,55.79,3.51
50,N82097,THE GREY ROAD SURGERY,GP,2019,56.1756218286261,51.0,0.9928366762177651,10% most deprived,2021-09-30,THE GREY ROAD SURGERY,N82097,Y62,0.0,1315.0,33790.0,8360.0,157.3,0.0
51,N83033,ST. LAURENCE'S MEDICAL CENTRE,GP,2019,56.1460376451078,52.0,0.9926934097421204,10% most deprived,2021-09-30,ST. LAURENCE'S MEDICAL CENTRE,N83033,Y62,0.0,424.0,10561.0,5825.0,72.79,0.0
52,N83622,PRIMROSE MEDICAL PRACTICE,GP,2019,56.1419337325349,53.0,0.9925501432664756,10% most deprived,2021-09-30,PRIMROSE MEDICAL PRACTICE,N83622,Y62,0.0,208.0,3571.0,2577.0,80.71,0.0
53,P84052,WEST GORTON MEDICAL PRACTICE,GP,2019,55.931029912695,54.0,0.992406876790831,10% most deprived,2021-09-30,WEST GORTON MEDICAL PRACTICE,P84052,Y62,0.0,569.0,8026.0,7108.0,80.05,0.0
54,N83009,WINGATE MEDICAL CENTRE,GP,2019,55.8714163207704,55.0,0.9922636103151863,10% most deprived,2021-09-30,WINGATE MEDICAL CENTRE,N83009,Y62,43.0,1492.0,21229.0,12169.0,122.61,3.53
55,P84029,BENCHILL MEDICAL PRACTICE,GP,2019,55.6909244053775,56.0,0.9921203438395415,10% most deprived,2021-09-30,BENCHILL MEDICAL PRACTICE,P84029,Y62,0.0,656.0,19030.0,9911.0,66.19,0.0
56,M85084,THE WAND MEDICAL CENTRE,GP,2019,55.5504490186692,57.0,0.9919770773638968,10% most deprived,2021-09-30,THE WAND MEDICAL CENTRE,M85084,Y60,0.0,229.0,5696.0,6112.0,37.47,0.0
57,L81670,HORIZON HEALTH CENTRE,GP,2019,55.5186138525031,58.0,0.9918338108882522,10% most deprived,2021-09-30,HORIZON HEALTH CENTRE,L81670,Y58,4.0,335.0,8456.0,5565.0,60.2,0.72
58,C88086,SOUTHEY GREEN MEDICAL CTR,GP,2019,55.3840633172746,60.0,0.9915472779369627,10% most deprived,2021-09-30,SOUTHEY GREEN MEDICAL CTR,C88086,Y63,2.0,58.0,215.0,2834.0,20.47,0.71
59,P89013,HATTERSLEY GROUP PRACTICE,GP,2019,55.3471935015429,61.0,0.9914040114613181,10% most deprived,2021-09-30,HATTERSLEY GROUP PRACTICE,P89013,Y62,78.0,660.0,14323.0,5615.0,117.54,13.89
60,N82022,EDGE HILL HEALTH CENTRE,GP,2019,55.3371200693541,62.0,0.9912607449856734,10% most deprived,2021-09-30,EDGE HILL HEALTH CENTRE,N82022,Y62,0.0,757.0,11518.0,9046.0,83.68,0.0
61,Y02684,QUAYSIDE MEDICAL CENTRE,GP,2019,55.2759517906336,63.0,0.9911174785100286,10% most deprived,2021-09-30,QUAYSIDE MEDICAL CENTRE,Y02684,Y63,141.0,107.0,474.0,3093.0,34.59,45.59
62,M85043,HAWKESLEY MEDICAL PRACTICE,GP,2019,55.2681992683452,64.0,0.990974212034384,10% most deprived,2021-09-30,HAWKESLEY MEDICAL PRACTICE,M85043,Y60,0.0,176.0,3827.0,4281.0,41.11,0.0
63,N82033,DINGLE PARK PRACTICE,GP,2019,55.1738666408219,65.0,0.9908309455587393,10% most deprived,2021-09-30,DINGLE PARK PRACTICE,N82033,Y62,0.0,427.0,10391.0,5588.0,76.41,0.0
64,N82036,PRIMARY CARE CONNECT NETHERLEY,GP,2019,55.1421006372809,66.0,0.9906876790830945,10% most deprived,2021-09-30,NETHERLEY HEALTH CENTRE,N82036,Y62,0.0,263.0,4051.0,3719.0,70.72,0.0
65,N82089,PICTON N'HOOD HEALTH & CHILDREN'S CENTRE,GP,2019,55.1142330011723,67.0,0.9905444126074499,10% most deprived,2021-09-30,PICTON GREEN,N82089,Y62,17.0,132.0,1782.0,3731.0,35.38,4.56
66,P84040,CONRAN MEDICAL CENTRE,GP,2019,55.0666911010116,68.0,0.9904011461318052,10% most deprived,2021-09-30,CONRAN MEDICAL CENTRE,P84040,Y62,22.0,65.0,6719.0,7091.0,9.17,3.1
67,N82091,GP PRACTICE RIVERSIDE (DR JUDE),GP,2019,55.0188728996122,69.0,0.9902578796561604,10% most deprived,2021-09-30,GP PRACTICE RIVERSIDE (DR JUDE),N82091,Y62,0.0,107.0,1609.0,2291.0,46.7,0.0
68,N83055,TRENTHAM MEDICAL CENTRE,GP,2019,55.0009165308709,70.0,0.9901146131805157,10% most deprived,2021-09-30,TRENTHAM MEDICAL CENTRE,N83055,Y62,244.0,867.0,24405.0,5830.0,148.71,41.85
69,P84679,WILLOWBANK SURGERY,GP,2019,54.9459671492205,71.0,0.9899713467048711,10% most deprived,2021-09-30,WILLOWBANK SURGERY,P84679,Y62,15.0,13.0,1857.0,1819.0,7.15,8.25
70,N83601,THE MACMILLAN SURGERY,GP,2019,54.9371779710145,72.0,0.9898280802292264,10% most deprived,2021-09-30,THE MACMILLAN SURGERY,N83601,Y62,0.0,458.0,12564.0,6105.0,75.02,0.0
71,B86106,FOUNDRY LANE SURGERY,GP,2019,54.92904857942,73.0,0.9896848137535816,10% most deprived,2021-09-30,FOUNDRY LANE SURGERY,B86106,Y63,27.0,394.0,1407.0,7068.0,55.74,3.82
72,P84070,NEWTON HEATH MEDICAL CENTRE,GP,2019,54.9089678035872,74.0,0.989541547277937,10% most deprived,2021-09-30,NEWTON HEATH MEDICAL CENTRE,P84070,Y62,0.0,98.0,10663.0,7491.0,13.08,0.0
73,N82019,LANGBANK MEDICAL CENTRE,GP,2019,54.8941522243306,75.0,0.9893982808022923,10% most deprived,2021-09-30,LANGBANK MEDICAL CENTRE,N82019,Y62,0.0,422.0,6702.0,4768.0,88.51,0.0
74,C88011,BUCHANAN ROAD SURGERY,GP,2019,54.886391248938,76.0,0.9892550143266475,10% most deprived,2021-09-30,BUCHANAN ROAD SURGERY,C88011,Y63,8.0,333.0,696.0,4644.0,71.71,1.72
75,B86675,LINCOLN GREEN MEDICAL CENTRE,GP,2019,54.7190999055267,77.0,0.9891117478510029,10% most deprived,2021-09-30,LINCOLN GREEN MEDICAL CENTRE,B86675,Y63,90.0,71.0,397.0,4354.0,16.31,20.67
76,N84028,THE STRAND MEDICAL CENTRE,GP,2019,54.3962658381737,78.0,0.9889684813753582,10% most deprived,2021-09-30,THE STRAND MEDICAL CENTRE,N84028,Y62,0.0,845.0,15424.0,7483.0,112.92,0.0
77,C88020,WHITE HOUSE SURGERY,GP,2019,54.3770167657369,79.0,0.9888252148997134,10% most deprived,2021-09-30,WHITE HOUSE SURGERY,C88020,Y63,31.0,555.0,1362.0,7043.0,78.8,4.4
78,N82018,ELLERGREEN MEDICAL CENTRE,GP,2019,54.3704608436041,80.0,0.9886819484240688,10% most deprived,2021-09-30,ELLERGREEN MEDICAL CENTRE,N82018,Y62,275.0,1908.0,39928.0,13223.0,144.29,20.8
79,L83651,ADELAIDE STREET SURGERY,GP,2019,54.3334249428499,81.0,0.9885386819484241,10% most deprived,2021-09-30,ADELAIDE STREET SURGERY,L83651,Y58,0.0,163.0,591.0,4084.0,39.91,0.0
80,N82086,ABINGDON FAMILY HEALTH CARE CENTRE,GP,2019,54.221557050907,83.0,0.9882521489971346,10% most deprived,2021-09-30,ABINGDON FAMILY HEALTH CARE CENTRE,N82086,Y62,0.0,368.0,5672.0,3542.0,103.9,0.0
81,N82655,MOSS WAY,GP,2019,53.9939223027375,84.0,0.98810888252149,10% most deprived,2021-09-30,MOSS WAY,N82655,Y62,0.0,384.0,9005.0,2423.0,158.48,0.0
82,B81046,THE BRIDGE GROUP PRACTICE,GP,2019,53.9865813630042,85.0,0.9879656160458453,10% most deprived,2021-09-30,THE BRIDGE GROUP PRACTICE,B81046,Y63,1.0,928.0,1837.0,8324.0,111.48,0.12
83,B86103,CONWAY MEDICAL CENTRE,GP,2019,53.8353398671096,87.0,0.9876790830945559,10% most deprived,2021-09-30,CONWAY MEDICAL CENTRE,B86103,Y63,8.0,42.0,302.0,3463.0,12.13,2.31
84,N85629,EGREMONT MED CTR,GP,2019,53.8052917232022,88.0,0.9875358166189112,10% most deprived,2021-09-30,EGREMONT MED CTR,N85629,Y62,0.0,234.0,3502.0,4287.0,54.58,0.0
85,B86005,DR N DUMPHY & PARTNERS,GP,2019,53.7878618371919,89.0,0.9873925501432664,10% most deprived,2021-09-30,DR N DUMPHY & PARTNERS,B86005,Y63,201.0,327.0,1698.0,5497.0,59.49,36.57
86,M85128,DR WALJI AND COLLEAGUES,GP,2019,53.6876974340041,90.0,0.9872492836676218,10% most deprived,2021-09-30,DR WALJI AND COLLEAGUES,M85128,Y60,0.0,118.0,5062.0,5141.0,22.95,0.0
87,N82646,DR JUDE'S PRACTICE - RIVERSIDE,GP,2019,53.6442929707542,91.0,0.9871060171919771,10% most deprived,2021-09-30,DR JUDE'S PRACTICE - RIVERSIDE,N82646,Y62,0.0,248.0,7571.0,9380.0,26.44,0.0
88,C87608,SHAKESPEARE ROAD SURGERY,GP,2019,53.6057708595012,92.0,0.9869627507163323,10% most deprived,2021-09-30,SHAKESPEARE ROAD SURGERY,C87608,Y63,43.0,54.0,258.0,5812.0,9.29,7.4
89,N82662,DUNSTAN VILLAGE GROUP PRACTICE,GP,2019,53.5507654933815,94.0,0.986676217765043,10% most deprived,2021-09-30,DUNSTAN VILLAGE GROUP PRACTICE,N82662,Y62,20.0,407.0,7820.0,7103.0,57.3,2.82
90,P85620,ST CHADS MEDICAL PRACTICE,GP,2019,53.4713912900033,95.0,0.9865329512893983,10% most deprived,2021-09-30,ST CHADS MEDICAL PRACTICE,P85620,Y62,0.0,73.0,2651.0,3134.0,23.29,0.0
91,M85701,BURBURY MEDICAL CENTRE,GP,2019,53.4281008817427,96.0,0.9863896848137536,10% most deprived,2021-09-30,BURBURY MEDICAL CENTRE,M85701,Y60,0.0,20.0,1238.0,4186.0,4.78,0.0
92,N82002,YEW TREE CENTRE,GP,2019,53.41902739056,97.0,0.9862464183381089,10% most deprived,2021-09-30,YEW TREE CENTRE,N82002,Y62,0.0,683.0,10097.0,4572.0,149.39,0.0
93,C86616,DENABY MEDICAL PRACTICE,GP,2019,53.4122708974001,98.0,0.9861031518624642,10% most deprived,2021-09-30,DENABY MEDICAL PRACTICE,C86616,Y63,31.0,182.0,597.0,3563.0,51.08,8.7
94,P84690,DAM HEAD MEDICAL CENTRE,GP,2019,53.4107889087657,99.0,0.9859598853868194,10% most deprived,2021-09-30,DAM HEAD MEDICAL CENTRE,P84690,Y62,0.0,128.0,3004.0,2788.0,45.91,0.0
95,N82065,EARLE ROAD MEDICAL CENTRE,GP,2019,53.3362644391408,101.0,0.9856733524355301,10% most deprived,2021-09-30,EARLE ROAD MEDICAL CENTRE,N82065,Y62,0.0,240.0,4456.0,4116.0,58.31,0.0
96,N82087,GILMOSS,GP,2019,53.325581738437,102.0,0.9855300859598853,10% most deprived,2021-09-30,GILLMOSS MEDICAL CENTRE,N82087,Y62,0.0,183.0,4963.0,2376.0,77.02,0.0
97,M85759,NECHELLS PRACTICE,GP,2019,53.0884470338983,103.0,0.9853868194842407,10% most deprived,2021-09-30,NECHELLS PRACTICE,M85759,Y60,34.0,106.0,498.0,6771.0,15.65,5.02
98,P84050,MOUNT ROAD SURGERY,GP,2019,53.0383281308528,104.0,0.985243553008596,10% most deprived,2021-09-30,MOUNT ROAD SURGERY,P84050,Y62,0.0,298.0,7444.0,8088.0,36.84,0.0
99,N84034,PARK STREET SURGERY,GP,2019,53.0225558844011,105.0,0.9851002865329513,10% most deprived,2021-09-30,PARK STREET SURGERY,N84034,Y62,0.0,760.0,17361.0,5826.0,130.45,0.0
100,M85766,BALSALL HEATH HEALTH CENTRE (S),GP,2019,53.0053635862069,106.0,0.9849570200573066,10% most deprived,2021-09-30,BALSALL HEATH HEALTH CENTRE (S),M85766,Y60,30.0,75.0,2549.0,3768.0,19.9,7.96
101,C88014,NORWOOD MEDICAL CENTRE,GP,2019,52.9090990367992,107.0,0.9848137535816619,10% most deprived,2021-09-30,NORWOOD MEDICAL CENTRE,C88014,Y63,38.0,621.0,18447.0,8213.0,75.61,4.63
102,B83628,ALICE STREET SURGERY,GP,2019,52.9033292419593,108.0,0.9846704871060172,10% most deprived,2021-09-30,CLARENDON MEDICAL CENTRE,B83628,Y63,10.0,710.0,2663.0,9041.0,78.53,1.11
103,P84065,THE SINGH MEDICAL PRACTICE,GP,2019,52.863225982817,110.0,0.9843839541547278,10% most deprived,2021-09-30,THE SINGH MEDICAL PRACTICE,P84065,Y62,5.0,57.0,3612.0,3919.0,14.54,1.28
104,B83026,PRIMROSE SURGERY,GP,2019,52.8620083133198,111.0,0.9842406876790831,10% most deprived,2021-09-30,PRIMROSE SURGERY,B83026,Y63,5.0,471.0,759.0,5685.0,82.85,0.88
105,P81016,WATERLOO MEDICAL CENTRE,GP,2019,52.8436930035688,112.0,0.9840974212034383,10% most deprived,2021-09-30,WATERLOO MEDICAL CENTRE,P81016,Y62,0.0,1150.0,15600.0,12190.0,94.34,0.0
106,B81017,KINGSTON MEDICAL GROUP,GP,2019,52.7960960067419,113.0,0.9839541547277937,10% most deprived,2021-09-30,KINGSTON MEDICAL GROUP,B81017,Y63,75.0,594.0,2462.0,16558.0,35.87,4.53
107,A81012,WESTBOURNE MEDICAL CENTRE,GP,2019,52.6470209196763,114.0,0.983810888252149,10% most deprived,2021-09-30,WESTBOURNE MEDICAL CENTRE,A81012,Y63,47.0,587.0,1026.0,5190.0,113.1,9.06
108,M81062,FRANKLEY HEALTH CENTRE,GP,2019,52.6202377841651,115.0,0.9836676217765044,10% most deprived,2021-09-30,FRANKLEY HEALTH CENTRE,M81062,Y60,0.0,116.0,3293.0,3658.0,31.71,0.0
109,M85024,THE LIMES MEDICAL CENTRE,GP,2019,52.5844173622705,116.0,0.9835243553008596,10% most deprived,2021-09-30,THE LIMES MEDICAL CENTRE,M85024,Y60,0.0,149.0,3447.0,6929.0,21.5,0.0
110,B86002,CITY VIEW MEDICAL PRACTICE,GP,2019,52.4633274939593,117.0,0.9833810888252149,10% most deprived,2021-09-30,CITY VIEW MEDICAL PRACTICE,B86002,Y63,0.0,814.0,1702.0,14833.0,54.88,0.0
111,N83621,HILLSIDE HOUSE SURGERY,GP,2019,52.4516235212248,118.0,0.9832378223495702,10% most deprived,2021-09-30,HILLSIDE HOUSE SURGERY,N83621,Y62,2.0,283.0,5165.0,2835.0,99.82,0.71
112,B81018,ORCHARD 2000 GROUP,GP,2019,52.4280732691015,119.0,0.9830945558739255,10% most deprived,2021-09-30,ORCHARD 2000 GROUP,B81018,Y63,5.0,655.0,2375.0,9101.0,71.97,0.55
113,N82001,THE MARGARET THOMPSON MED CENTRE,GP,2019,52.3729866286326,120.0,0.9829512893982808,10% most deprived,2021-09-30,THE MARGARET THOMPSON MED CENTRE,N82001,Y62,0.0,746.0,6944.0,5784.0,128.98,0.0
114,M85020,RAYDOCS NEWTOWN,GP,2019,52.3059834592065,121.0,0.9828080229226361,10% most deprived,2021-09-30,RAYDOCS NEWTOWN,M85020,Y60,510.0,437.0,18999.0,19681.0,22.2,25.91
115,N84015,BOOTLE VILLAGE SURGERY,GP,2019,52.2267902179338,122.0,0.9826647564469914,10% most deprived,2021-09-30,BOOTLE VILLAGE SURGERY,N84015,Y62,0.0,226.0,8594.0,6220.0,36.33,0.0
116,N82110,LONG LANE,GP,2019,52.1060459712048,124.0,0.982378223495702,10% most deprived,2021-09-30,LONG LANE,N82110,Y62,0.0,1089.0,37758.0,8006.0,136.02,0.0
117,P87613,CLEGGS LANE MEDICAL PRACTICE/129,GP,2019,52.0780260089686,125.0,0.9822349570200573,10% most deprived,2021-09-30,CLEGGS LANE MEDICAL PRACTICE/129,P87613,Y62,0.0,203.0,3897.0,3799.0,53.44,0.0
